,goal_reached,episode_score,num_training_steps
count,80.0,80.0,80.0
mean,0.9625,84.59130636294128,227.2125
std,0.19118219820734475,145.20849436548565,404.97178191272735
min,0.0,-480.4919525087402,39.0
25%,1.0,19.730819418972665,93.0
50%,1.0,70.46376497805508,125.0
75%,1.0,201.5177002585168,188.25
max,1.0,234.56390184548903,2001.0
